stars,size,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
85964,155534,39637,970,True,True,True,True,7,False,True,False,False,False,9,397189,467983,467983,1,1,0,0,0,0
83814,5525,8606,1374,True,False,True,True,8,False,False,False,False,True,6,419801,467983,467871,0,0,0,1,0,0
83292,477240,8946,276,False,True,True,False,8,False,True,False,False,False,4,415100,467983,467982,1,0,0,1,0,0
82392,15436,29747,1293,True,True,True,True,19,False,False,False,False,True,6,414553,467983,467737,0,1,0,0,0,0
82251,520,11150,84,True,False,True,True,7,True,False,False,False,False,7,411141,467983,467725,0,1,0,0,0,0
82045,30762,25100,201,True,False,True,False,8,False,False,False,False,True,5,390998,467983,467913,1,0,0,0,1,0
81729,923518,10799,9578,False,False,True,True,4,False,False,False,True,False,8,354642,467982,467983,1,0,0,0,1,0
78704,673299,8463,2185,False,False,True,True,19,False,True,False,False,False,20,405075,467983,467981,1,1,0,0,0,0
77831,1778,16473,51,False,True,True,True,4,False,False,False,False,True,15,366224,467980,466702,1,0,0,0,1,0
77492,4031,3356,287,True,False,True,True,2,False,False,True,False,False,8,396805,467983,467554,0,1,0,0,0,0
76923,30551,14888,1924,True,False,True,True,16,False,False,True,False,False,4,461436,467983,467981,0,0,0,0,0,1
75917,624,9672,269,False,True,False,False,5,False,False,False,False,True,10,463956,467983,467961,1,0,0,0,0,1
75823,612992,46258,1198,True,False,True,True,0,False,False,False,False,True,6,404064,467981,467927,0,0,0,0,1,0
74454,34199,6909,58,False,False,True,True,0,False,True,False,False,False,20,404587,467981,467919,1,1,0,0,0,0
73488,10632,23731,31,False,False,False,False,3,False,False,False,False,True,30,363193,467982,467928,1,0,1,0,0,0
73143,509807,13917,18,True,False,True,True,5,False,False,False,False,True,11,428911,467981,466488,0,0,1,0,0,0
72780,230560,5298,4,False,False,True,False,7,False,False,False,False,True,10,385309,467983,467801,1,0,1,0,0,0
71453,110561,12425,5369,True,False,True,True,7,True,False,False,False,False,7,369301,467983,467480,1,0,0,0,1,0
70841,238247,29243,149,False,False,False,False,9,False,False,True,False,False,7,370992,467983,467983,1,0,0,0,0,1
70775,301,6767,45,True,False,True,True,5,False,False,False,False,True,12,417659,467982,467061,0,0,0,0,0,1
70148,88608,2984,364,True,False,True,True,3,False,False,False,False,True,6,393258,467983,467844,0,0,0,0,0,1
70094,33645,18314,2,False,True,True,False,20,False,False,False,False,True,14,427449,467983,467698,1,0,0,0,0,1
70042,6765,7617,14,False,True,False,False,2,False,False,False,False,True,18,396308,467982,467919,1,0,1,0,0,0
69850,87472,10943,76,True,True,True,False,7,True,False,False,False,False,10,445825,467983,467883,1,1,0,0,0,0
69622,233222,34255,633,False,False,True,True,5,False,False,False,False,True,4,359102,467982,467983,1,1,0,0,0,0
69072,4451,8993,103,False,False,True,True,4,False,False,True,False,False,11,406204,467983,467399,1,0,1,0,0,0
68925,517931,55318,2473,True,False,True,False,5,False,False,False,False,True,5,372967,467982,467983,1,0,0,1,0,0
68807,3222,7459,691,False,False,True,False,7,False,False,False,False,True,34,389709,467983,467866,1,1,0,0,0,0
68626,13004,9347,44,False,False,True,True,0,False,False,False,False,True,10,401470,467980,467866,0,1,0,0,0,0
68597,93406,3544,15,False,False,True,False,7,False,False,False,False,True,8,418692,467983,467965,1,1,0,0,0,0
67901,91172,3317,817,True,False,True,True,3,False,True,False,False,False,4,411017,467983,467983,1,1,0,0,0,0
67640,27854,11478,104,False,False,True,True,9,False,False,False,False,True,19,402974,467983,467964,0,0,0,1,0,0
67356,167372,38651,640,True,False,True,True,4,False,False,False,False,True,2,375181,467983,467971,1,0,0,1,0,0
67174,3307,7215,375,False,False,True,False,13,False,False,False,False,True,13,353151,467983,467613,0,1,0,0,0,0
67158,115087,7192,643,False,False,True,True,7,False,False,False,False,True,7,381373,467982,467983,1,0,0,1,0,0
67025,1317690,18366,11936,True,False,True,True,8,False,False,True,False,False,11,408627,467983,467983,1,0,0,0,1,0
66939,3761,6591,658,False,False,True,True,0,True,False,False,False,False,15,384876,467983,467743,0,1,0,0,0,0
66225,57974,26830,37,True,False,True,True,16,False,False,False,False,True,3,422999,467982,467933,1,0,0,1,0,0
66041,247231,4647,1709,True,False,True,True,7,False,False,False,False,True,6,386436,467982,467983,1,0,0,0,1,0
65947,197968,18685,4217,True,False,True,True,3,False,False,False,False,True,14,377369,467983,467932,1,0,0,1,0,0
65173,2870,6250,5,False,True,True,False,12,False,False,False,False,True,11,418928,467982,464401,1,0,0,0,0,1
65168,165,8525,24,False,False,False,False,9,False,False,False,False,True,12,405373,467982,467553,0,0,0,0,0,1
64806,112732,391,619,False,True,True,False,5,True,False,False,False,False,11,428397,467982,467980,0,0,0,0,0,1
64781,614,8403,357,True,False,True,True,4,False,False,False,False,True,14,430865,467983,467577,0,1,0,0,0,0
63847,1078266,23114,4104,False,False,True,True,3,False,False,False,False,True,7,351564,467983,467983,1,0,0,0,1,0
63794,21213,16525,738,True,True,True,True,3,True,False,False,False,False,4,363184,467980,467818,1,1,0,0,0,0
63697,74938,1726,514,False,False,True,True,17,False,False,False,True,False,12,434167,467983,467967,1,0,0,1,0,0
63153,132741,5525,318,False,False,True,True,20,False,False,False,False,True,6,380968,467981,467968,0,0,0,0,0,1
63073,59774,8742,299,False,False,True,True,16,True,False,False,False,False,44,369825,467981,467976,1,1,0,0,0,0
63006,10210,15664,1,False,False,True,False,7,False,False,True,False,False,8,352929,467983,467890,1,0,0,0,0,1
62790,990559,10084,6496,False,False,True,False,0,False,False,False,False,True,4,401563,467983,467983,1,0,0,1,0,0
61881,46896,8947,122,True,False,True,True,0,False,False,False,False,True,4,435457,467983,467975,0,0,0,0,1,0
61441,1282783,11462,9636,False,False,True,True,8,False,False,False,False,True,9,385791,467983,467983,1,1,0,0,0,0
60909,9096,10466,169,True,False,True,False,4,True,False,False,False,False,7,346120,467980,467891,1,1,0,0,0,0
60701,10485,5850,136,True,True,True,True,10,True,False,False,False,False,18,407989,467983,467959,1,0,0,0,0,1
60645,42309,11859,258,False,False,True,True,7,True,False,False,False,False,7,378766,467982,467925,1,1,0,0,0,0
60570,450128,23234,2780,False,False,True,True,8,False,False,True,False,False,12,383165,467983,467983,1,0,0,1,0,0
60434,52003,5052,279,False,False,True,True,7,False,True,False,False,False,5,430911,467983,467966,1,1,0,0,0,0
59963,411,1408,63,True,True,True,True,0,True,False,False,False,False,6,360276,467983,465677,1,0,1,0,0,0
59939,131728,22549,2398,False,False,True,True,0,False,False,False,False,True,31,343797,467982,467983,1,0,0,0,0,1
59826,24091,12574,112,True,False,True,True,20,False,False,False,False,True,9,413081,467982,467968,1,1,0,0,0,0
59584,28292,15403,47,False,True,True,False,1,False,True,False,False,False,6,398037,467982,467966,1,1,0,0,0,0
59426,126287,15015,888,True,True,True,True,8,False,False,False,False,True,7,391405,467982,467968,1,0,0,0,1,0
59395,330585,18348,1000,False,False,True,False,7,True,False,False,False,False,5,368633,467982,464649,1,1,0,0,0,0
59170,101744,28118,466,True,False,True,True,0,True,False,False,False,False,7,350759,467979,458269,1,1,0,0,0,0
58900,2535,14035,4,False,True,True,False,0,False,False,True,False,False,11,390401,467982,467875,0,0,0,0,1,0
58845,16027,11420,322,True,True,True,True,0,True,False,False,False,False,18,371353,467977,464966,1,1,0,0,0,0
58394,35951,19349,393,True,False,True,True,6,False,False,True,False,False,4,396527,467983,467983,1,0,0,1,0,0
58263,17183,10188,117,False,True,True,True,4,False,True,False,False,False,5,352313,467981,467982,1,1,0,0,0,0
58144,17016,4857,514,True,False,True,True,20,False,False,True,False,False,13,428959,467983,467977,1,1,0,0,0,0
58024,3080,17712,62,True,False,True,True,0,False,False,False,False,True,1,423059,467983,463353,0,0,1,0,0,0
57705,221382,4622,857,True,True,True,True,7,True,False,False,False,False,16,393022,467983,467981,1,1,0,0,0,0
57476,32351,20777,86,True,False,True,False,1,True,False,False,False,False,3,344101,467981,467972,1,1,0,0,0,0
57427,242968,23362,979,False,False,True,True,3,False,False,True,False,False,48,369733,467981,467925,1,0,0,0,0,1
57396,7585,11791,327,False,False,True,True,0,False,False,False,False,True,6,466644,467983,467958,1,0,0,0,0,1
57135,5056,10888,8,False,True,True,False,6,False,False,False,False,True,19,369118,467983,467944,1,1,0,0,0,0
56808,5,4674,4336,True,False,True,True,0,False,False,False,False,True,13,421654,467976,467920,0,0,0,1,0,0
56738,289751,6900,69,True,False,True,True,13,False,True,False,False,False,22,412843,467983,467981,1,1,0,0,0,0
56537,13485,16468,141,True,False,True,True,3,False,False,False,False,True,5,377262,467983,467204,0,0,0,0,1,0
56407,33140,5007,540,False,False,True,True,5,False,True,False,False,False,6,440955,467983,467983,1,1,0,0,0,0
56380,47581,6925,504,True,False,True,True,4,True,False,False,False,False,10,370490,467983,467889,1,0,0,0,1,0
56111,858,7858,68,True,False,True,True,13,True,False,False,False,False,8,426683,467980,467299,0,1,0,0,0,0
56010,518,7931,16,True,False,True,True,19,False,False,False,False,True,8,410295,467983,467809,0,0,1,0,0,0
55608,2471,6718,3,False,False,True,False,10,False,False,False,False,True,8,390915,467983,467744,0,0,1,0,0,0
55422,782387,10830,3598,False,False,True,True,15,False,True,False,False,False,26,385214,467983,467983,1,0,0,0,0,1
55393,2102,16637,272,False,False,True,True,6,True,False,False,False,False,8,442856,467983,467962,1,1,0,0,0,0
55334,1096,7581,23,True,False,True,True,14,False,False,False,False,True,15,402416,467982,467848,1,0,1,0,0,0
55234,227307,19472,2289,True,False,True,True,9,False,True,False,False,False,13,379153,467981,467815,1,0,0,1,0,0
54822,2964,6835,136,True,False,True,True,4,False,False,False,False,True,14,387925,467980,463381,0,0,0,0,1,0
54582,22577,12229,7,True,False,True,False,7,True,False,False,False,False,14,351209,467983,467587,1,1,0,0,0,0
54468,1115068,10538,129,False,False,True,True,7,True,False,False,False,False,12,397844,467981,467982,1,1,0,0,0,0
54445,3743,7749,10,True,False,True,True,0,False,False,False,False,True,11,433422,467983,467025,0,1,0,0,0,0
54439,42830,6460,248,True,False,True,False,5,False,False,False,False,True,6,427748,467983,467742,0,0,1,0,0,0
54418,43676,8496,491,True,False,True,True,0,False,False,False,False,True,5,461148,467983,467863,1,0,0,0,1,0
54307,153756,24284,2193,True,False,True,True,5,False,False,True,False,False,5,356119,467982,467978,1,0,0,0,0,1
54254,989,9308,122,False,False,True,False,4,False,False,False,False,True,7,393461,467983,465497,1,1,0,0,0,0
53837,422221,6547,377,False,True,True,True,19,True,False,False,False,False,15,401005,467983,467983,1,0,0,0,1,0
53580,402206,7715,360,False,True,True,False,5,False,False,False,False,True,10,439713,467983,467773,1,0,0,0,0,1
53380,91788,14548,2527,True,True,True,True,7,False,False,False,False,True,7,409132,467981,467831,1,1,0,0,0,0
53143,569637,26843,8175,False,False,True,True,0,False,False,True,False,False,4,412986,467983,467983,1,0,0,0,1,0
52863,260324,21121,834,False,False,True,True,7,False,False,False,False,True,3,335520,467981,467982,1,1,0,0,0,0
52311,5048,2188,321,True,False,True,False,10,False,False,False,False,True,5,384038,467982,467959,0,1,0,0,0,0
52084,125278,3765,329,True,False,True,True,4,False,False,False,False,True,5,384848,467983,467977,1,0,0,0,0,1
52053,451361,10620,1354,True,True,True,True,18,False,True,False,False,False,10,399304,467983,467983,1,0,0,1,0,0
