size,forks_count,stars
22735,5073,34852
1104,9288,34846
6401,2201,34685
52023,13542,34670
2674,13294,34667
35286,2246,34622
19378,4292,34597
34409,2318,34584
16442,7441,34572
144238,7507,34555
38743,2812,34498
371532,6976,34441
1318732,6743,34428
15683,1896,34423
317,9235,34308
31956,1465,34279
7457,7903,34245
396972,3799,34226
375857,53601,34185
121326,3280,34153
137826,3605,34140
13555,8108,34111
459005,5476,34082
3423,3295,34015
7680,3687,33943
136347,5356,33910
25363,4144,33887
2413,3562,33850
396,7608,33798
18260,60102,33784
8908,9089,33770
68983,2046,33711
53584,11632,33690
6296,2106,33610
95399,6064,33608
6902,3700,33599
17470,2891,33568
232,3077,33568
8883,5552,33545
92974,7961,33452
891,19084,33378
76170,18996,33357
6129,10357,33342
266339,2409,33287
29435,5450,33235
3027,4092,33163
44410,2837,33061
10993,3592,33004
249164,7115,33003
1434252,4478,32944
106471,8024,32885
5250,3982,32879
38783,3145,32860
125292,2909,32788
1088,4376,32758
12602,8524,32755
1653,7295,32691
1091,2559,32682
20100,1858,32624
50653,1863,32583
124,1707,32555
11887,5938,32489
411343,4387,32468
4485,3581,32434
44432,6993,32423
7143,2090,32420
13934,2681,32367
80071,5013,32361
27578,5083,32349
4168390,8875,32330
365050,6219,32320
56968,5179,32170
5286,1647,32153
47327,10603,32153
287169,2875,32080
60810,7793,32047
4791,2792,31918
1949,2683,31906
413383,9084,31754
7113,8435,31720
6121,4315,31609
19788,1657,31549
30690,2131,31488
50650,7999,31472
96044,1138,31465
8283,7991,31391
4488,2221,31340
244573,2685,31322
34222,5684,31279
26010,5795,31265
8803,1927,31244
2139,12004,31225
88152,15326,31218
241702,9324,31062
57431,3702,31051
58570,9423,31051
4398,8147,31030
5906,974,31014
1549,2318,30959
934,4250,30740
712082,6285,30642
91,2435,30611
56033,6673,30597
1410,7310,30518
141665,1565,30499
130879,3529,30472
347422,6261,30468
10388,1365,30463
106664,2045,30427
31225,3271,30367
1348,3507,30320
210875,4745,30273
239972,12391,30270
867736,13193,30264
381,3525,30196
56563,5753,30172
13740,1480,30091
14800,2404,29997
51869,1896,29959
49483,3354,29931
9107,2558,29899
3740550,2644,29767
11323,5576,29759
8380,3322,29751
12852,9344,29689
19269,5366,29684
668,1969,29682
23385,3450,29672
30935,6443,29648
25091,4010,29604
4686,4686,29556
73958,10069,29521
14194,10162,29508
3781,1020,29489
24515,4872,29484
122997,5598,29470
2068,7254,29361
531314,7232,29341
8698144,18806,29275
164709,5848,29264
6060436,18656,29185
27110,7974,29154
8943,6187,29140
199,2923,29132
72720,8296,29095
16950,1907,29030
836,8806,29018
6084,7394,28996
1073,12288,28940
61724,3121,28926
24841,7177,28922
125149,2954,28909
714371,8258,28900
130830,4329,28887
1060792,5721,28822
5534,4540,28778
498,3283,28720
498,7727,28701
1308,5035,28663
4412744,7217,28567
139457,3935,28457
19220,1972,28443
994,5823,28442
397139,2843,28437
25187,1362,28361
253518,9094,28349
3191359,6950,28275
60251,5937,28267
117300,4633,28225
73004,13960,28215
329,1859,28214
3558,2417,28200
33148,2820,28170
117427,1489,28167
21247,3206,28165
1099,6459,28115
52511,10138,28074
16993,9593,28037
27144,5539,28007
16016,13417,27980
3677,5982,27978
2586,3995,27914
43529,4198,27913
15554,2688,27887
6820,2455,27857
6978,3766,27803
26472,7065,27802
684224,10147,27798
84827,2413,27739
14104,4933,27723
249043,3814,27710
30958,11606,27676
13761,746,27649
25543,6618,27622
41410,5559,27586
13995,1325,27544
1740,697,27518
10310,1569,27496
178768,1781,27482
0,1511,27479
841,2260,27413
8522,7170,27412
4676,24357,27381
276458,986,27377
6303,2021,27353
65562,8624,27327
7768,4357,27297
3093,2255,27268
140305,3310,27252
14739,2774,27213
354320,2683,27197
158,4757,27168
2544349,3444,27161
32306,4464,27148
36129,4917,27136
70241,11639,27120
86471,7597,27097
83508,5275,27048
21769,3135,27046
26636,958,26995
1188,7157,26965
6910,5605,26962
437,6150,26891
81464,8395,26880
382515,1857,26872
28900,2596,26867
2403,3612,26849
199,3315,26834
10515,6500,26809
3199,1061,26754
10094,3504,26725
190655,5879,26722
49,675,26687
72816,1024,26671
2027127,7554,26626
868034,5420,26618
2661,4567,26580
13110,7735,26571
198584,9331,26551
108123,4501,26526
3143,9046,26481
19247,1756,26471
208392,4589,26463
428465,4304,26430
52147,11775,26419
9713,1594,26390
217564,1320,26344
1584,7708,26324
53890,7117,26313
6902,5863,26292
573,1730,26216
709513,2707,26214
5251,2687,26207
201290,4125,26176
410304,2149,26167
25,9096,26160
19110,4046,26158
125336,12114,26100
282019,1884,26088
163339,1481,26073
232820,4610,26066
295471,18997,26018
2890,3606,25991
8495,10250,25927
65695,6693,25915
19138,5003,25893
9168,4747,25828
4492,5511,25749
18998,7235,25743
534,3200,25722
30548,888,25714
672495,1138,25695
7162,1891,25693
6120,2145,25680
310741,4460,25671
106960,3738,25668
344,5341,25652
21687,7834,25642
41949,5270,25640
2290,3235,25627
3909,4675,25624
1090,7641,25605
1697,4200,25605
13998,6383,25604
96281,1879,25588
172065,7759,25586
51134,6591,25585
8675,3789,25582
5311,2322,25574
73614,2176,25560
950,2474,25553
22596,764,25525
628,2216,25487
37844,3116,25483
166157,3373,25474
19310,3046,25466
28689,1493,25465
746690,6140,25435
41,2754,25433
272,1962,25415
24826,4138,25348
15513,6532,25344
14446,2759,25326
9157,3144,25316
7304,2043,25311
5865,834,25300
722,1855,25298
48252,1236,25290
204344,5758,25243
2442,1713,25226
80424,4380,25201
44586,5151,25165
8271,1273,25151
17637,1966,25097
49025,7581,25088
26862,4541,25056
87254,13041,25015
154,3123,24967
7382,2412,24966
48092,3140,24956
159314,12623,24952
6985,1442,24931
70,1784,24926
6255,6755,24909
2426,1383,24901
40090,2964,24873
169813,3263,24861
5874,1277,24845
174917,2670,24810
154110,11901,24805
2658,1488,24801
267475,2184,24800
2945,2028,24787
38037,2807,24770
132955,13157,24756
87026,1474,24740
3172,1722,24701
36984,1234,24695
8019,5419,24657
20700,3246,24613
14335,1795,24610
8292,4598,24602
3558,2616,24595
159813,5257,24594
21360,5896,24585
6468,1395,24566
333,3016,24551
147,4505,24483
67208,7790,24477
94797,6309,24435
1742,4687,24352
1885,2110,24349
32974,10097,24345
46925,32680,24341
19940,6675,24337
63816,2862,24315
1350,916,24304
507,1985,24299
29623,5259,24290
19847,3428,24250
57910,8658,24237
6526,21422,24212
572,3372,24205
273479,4930,24197
25614,1294,24160
26601,8588,24157
3201,2702,24137
9364,3436,24038
209749,3509,24023
2166322,5076,24013
32725,4216,24008
4140,4246,23991
16082,2480,23965
853920,7391,23924
465508,8683,23893
69504,2407,23878
955,5468,23865
252258,1845,23859
157839,1102,23852
8680,2806,23802
266781,3082,23769
134283,717,23769
37125,79023,23768
14382,8469,23766
7336,1054,23756
970536,5518,23754
68262,2660,23750
1310225,3425,23722
65827,2822,23719
14787,4102,23651
972490,5779,23642
163385,4537,23633
65316,5031,23564
778,6600,23564
124959,8131,23557
6066,4472,23554
843,2908,23538
10221,2656,23538
291094,3188,23538
6656,3160,23534
143520,680,23533
48244,3465,23524
935,2592,23506
100279,6511,23506
26490,5571,23500
37251,1919,23482
15559,1213,23479
13989,2859,23478
25763,1348,23472
1465,2429,23467
4684,2021,23409
9799,4698,23384
35047,4582,23374
29935,937,23364
7282,5937,23336
16237,4072,23334
49191,3543,23327
117712,3791,23318
6931,3042,23299
41256,994,23298
10072,1505,23271
1631,564,23260
1456031,5733,23257
659437,9955,23245
125603,2902,23233
77635,2159,23217
1378,6168,23198
5785,5562,23194
27948,4029,23168
42560,3833,23167
33766,2279,23148
579976,2053,23136
58589,2190,23083
122597,11452,23075
28330,1849,23074
138907,6440,23069
1291899,2711,23054
6221,2532,22999
75636,656,22994
8492,1463,22992
1406,1888,22980
4116,2036,22976
61436,4950,22973
520,3400,22973
592,2864,22958
209771,4261,22051
1563763,2176,22017
22206,3004,22016
28336,1556,22009
927,2042,22008
45028,2629,22002
1186,2017,21986
119004,1871,21979
13020,4768,21979
3057,4183,21977
17150,798,21973
29797,683,21955
3204599,4080,21949
3262,1966,21943
30658,2027,21942
50567,3737,21936
1116,3400,21935
7353,5899,21924
1173,6961,21923
16507,4146,21915
78590,3266,21908
597501,4573,21858
126421,2945,21849
4331,2560,21844
168269,6207,21839
36,3498,21829
3822,1283,21787
108825,1014,21759
58059,6259,21753
284466,9176,21736
30603,3518,21712
32214,2171,21691
3876,636,21685
169878,4725,21683
249489,4977,21648
61361,3050,21645
26748,1546,21638
8943,1106,21630
381415,2722,21627
1345,3573,21626
233233,3458,21598
1638,995,21557
77891,1709,21556
34539,4489,21544
14442,3476,21542
14870,4775,21537
10594,4605,21536
1140,2195,21531
1942,1993,21530
747,4592,21514
21335,2802,21509
1102272,6421,21509
1083,1377,21502
614,1216,21474
5349,1205,21473
10454,1898,21469
17961,3364,21460
38290,2052,21452
31215,1717,21417
2154,2629,21400
528390,1440,21368
243508,9466,21350
7483,2693,21348
285078,4660,21347
31094,1138,21332
14827,3903,21314
17370,3625,21309
109814,1419,21306
5429,2149,21292
5786,2412,21284
1283,5453,21271
497420,12019,21264
6143,4520,21258
1736,1287,21247
4872,610,21238
14862,1972,21236
78579,3980,21235
88589,2499,21231
1300193,3836,21220
118704,1657,21168
23157,5058,21157
21915,1444,21144
1225,2230,21134
10033,5485,21118
2557,2475,21070
141880,2804,21057
3496,2918,21042
692593,1266,21035
8024,1301,20999
7755,7594,20981
2471,898,20980
37476,2334,20979
510,2812,20956
23414,1325,20941
832,5844,20925
13238,10618,20921
253899,7891,20907
39501,2770,20871
27547,7176,20846
484,2496,20840
3876,636,21685
169878,4725,21683
249489,4977,21648
61361,3050,21645
26748,1546,21638
8943,1106,21630
381415,2722,21627
1345,3573,21626
233233,3458,21598
12773,1120,21567
1638,995,21557
77891,1709,21556
34539,4489,21544
14442,3476,21542
14870,4775,21537
10594,4605,21536
1140,2195,21531
1942,1993,21530
747,4592,21514
21335,2802,21509
1102272,6421,21509
1083,1377,21502
614,1216,21474
5349,1205,21473
10454,1898,21469
17961,3364,21460
38290,2052,21452
31215,1717,21417
49091,5601,21403
2154,2629,21400
528390,1440,21368
243508,9466,21350
7483,2693,21348
285078,4660,21347
31094,1138,21332
14827,3903,21314
17370,3625,21309
109814,1419,21306
5429,2149,21292
5786,2412,21284
