,size,forks_count,open_issues,has_wiki,has_pages,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,apache_license,other_license,remain_license,stars
51,101948,4864,1353,1,0,0,1,0,435,9371,235,1593,4,0,0,0,7,423980,467979,467969,1,1,0,0,0,89458
52,70080,9233,45,0,0,1,0,1,221,3810,8,0,18,0,0,1,8,418179,467978,467740,1,0,0,0,1,89308
53,133488,7780,1481,1,0,1,1,0,354,3624,2441,0,10,0,0,1,15,417349,467979,467921,0,1,0,0,0,88816
54,460502,23614,1437,0,0,1,1,0,385,27122,1169,0,7,0,1,0,5,391954,467978,467979,1,1,0,0,0,88253
55,380954,29827,1477,0,0,1,1,0,422,21931,465,255,7,0,1,0,17,391213,467980,467980,1,1,0,0,0,86798
56,155534,39637,970,1,1,1,1,0,376,25213,1761,1043,7,0,1,0,9,397186,467979,467980,1,1,0,0,0,85964
57,5525,8606,1374,1,0,1,0,0,111,2107,55,0,8,0,0,1,6,419796,467980,467868,0,0,1,0,0,83814
58,477240,8946,276,0,1,0,0,0,450,3536,100,334,8,0,1,0,4,415096,467980,467978,1,0,1,0,0,83292
59,15436,29747,1293,1,1,1,1,1,115,1019,44,77,19,0,0,1,6,414550,467980,467733,0,1,0,0,0,82392
60,520,11150,84,1,0,1,0,1,106,546,10,0,7,1,0,0,7,411136,467979,467721,0,1,0,0,0,82251
61,30762,25100,201,1,0,0,0,1,335,3454,43,306,8,0,0,1,5,390995,467979,467910,1,0,0,1,0,82045
62,923518,10799,9578,0,0,1,0,0,435,224754,54332,0,4,0,0,0,8,354639,467978,467980,1,0,0,1,0,81729
63,673299,8463,2185,0,0,1,1,0,365,50534,1355,8739,19,0,1,0,20,405070,467980,467978,1,1,0,0,0,78704
64,1778,16473,51,0,1,1,1,0,114,662,20,188,4,0,0,1,15,366220,467976,466698,1,0,0,1,0,77831
65,4031,3356,287,1,0,1,0,1,168,1636,27,0,2,0,0,0,8,396801,467979,467550,0,1,0,0,0,77492
66,30551,14888,1924,1,0,1,1,1,403,4382,599,0,16,0,0,0,4,461432,467980,467978,0,0,0,0,1,76923
67,624,9672,269,0,1,0,0,1,74,395,12,135,5,0,0,1,10,463952,467980,467958,1,0,0,0,1,75917
68,612992,46258,1198,1,0,1,0,0,370,9027,197,0,0,0,0,1,6,404059,467978,467923,0,0,0,1,0,75823
69,34199,6909,58,0,0,1,1,0,76,891,27,47,0,0,1,0,20,404583,467978,467915,1,1,0,0,0,74454
70,10632,23731,31,0,0,0,0,0,402,6898,1538,0,3,0,0,1,30,363189,467979,467924,1,0,0,0,0,73488
71,509807,13917,18,1,0,1,0,1,15,246,8,0,5,0,0,1,11,428906,467977,466484,0,0,0,0,0,73143
72,230560,5298,4,0,0,0,0,0,244,862,19,0,7,0,0,1,10,385305,467979,467797,1,0,0,0,0,72780
73,110561,12425,5369,1,0,1,1,0,3,13,79,21,7,1,0,0,7,369296,467980,467477,1,0,0,1,0,71453
74,238247,29243,149,0,0,0,0,0,395,31730,1829,436,9,0,0,0,7,370989,467979,467980,1,0,0,0,1,70841
75,301,6767,45,1,0,1,0,0,78,282,3,0,5,0,0,1,12,417655,467978,467058,0,0,0,0,1,70775
76,88608,2984,364,1,0,1,1,1,111,582,17,0,3,0,0,1,6,393254,467979,467840,0,0,0,0,1,70148
77,33645,18314,2,0,1,0,1,0,36,731,11,624,20,0,0,1,14,427446,467979,467694,1,0,0,0,1,70094
78,6765,7617,14,0,1,0,0,1,431,5096,23,1451,2,0,0,1,18,396303,467979,467915,1,0,0,0,0,70042
79,87472,10943,76,1,1,0,1,0,202,1608,47,284,7,1,0,0,10,445821,467979,467880,1,1,0,0,0,69850
80,233222,34255,633,0,0,1,0,0,350,37598,1041,0,5,0,0,1,4,359097,467979,467980,1,1,0,0,0,69622
81,4451,8993,103,0,0,1,1,1,7,156,12,0,4,0,0,0,11,406200,467980,467395,1,0,0,0,0,69072
82,517931,55318,2473,1,0,0,0,0,290,32949,370,0,5,0,0,1,5,372964,467978,467980,1,0,1,0,0,68925
83,3222,7459,691,0,0,0,0,0,375,1684,69,0,7,0,0,1,34,389706,467980,467862,1,1,0,0,0,68807
84,13004,9347,44,0,0,1,0,0,446,5021,6,0,0,0,0,1,10,401466,467976,467863,0,1,0,0,0,68626
85,93406,3544,15,0,0,0,1,0,244,5161,44,0,7,0,0,1,8,418689,467979,467961,1,1,0,0,0,68597
86,91172,3317,817,1,0,1,0,0,426,7099,133,745,3,0,1,0,4,411012,467980,467980,1,1,0,0,0,67901
87,27854,11478,104,0,0,1,0,1,86,1071,19,0,9,0,0,1,19,402969,467979,467960,0,0,1,0,0,67640
88,167372,38651,640,1,0,1,0,0,368,42945,896,6,4,0,0,1,2,375177,467979,467967,1,0,1,0,0,67356
89,3307,7215,375,0,0,0,0,0,333,2131,126,0,13,0,0,1,13,353148,467980,467610,0,1,0,0,0,67174
90,115087,7192,643,0,0,1,0,0,427,7579,335,0,7,0,0,1,7,381369,467979,467979,1,0,1,0,0,67158
91,1317690,18366,11936,1,0,1,0,0,344,60524,1155,940,8,0,0,0,11,408623,467979,467980,1,0,0,1,0,67025
92,3761,6591,658,0,0,1,0,1,70,872,10,0,0,1,0,0,15,384871,467980,467739,0,1,0,0,0,66939
93,57974,26830,37,1,0,1,0,1,1,958,10,0,16,0,0,1,3,422995,467978,467929,1,0,1,0,0,66225
94,247231,4647,1709,1,0,1,0,0,448,26075,825,0,7,0,0,1,6,386432,467978,467980,1,0,0,1,0,66041
95,197968,18685,4217,1,0,1,1,0,406,46164,742,0,3,0,0,1,14,377364,467980,467929,1,0,1,0,0,65947
96,2870,6250,5,0,1,0,1,1,107,697,9,263,12,0,0,1,11,418924,467978,464396,1,0,0,0,1,65173
97,165,8525,24,0,0,0,0,0,21,115,29,0,9,0,0,1,12,405370,467979,467550,0,0,0,0,1,65168
98,112732,391,619,0,1,0,0,0,230,26099,248,1929,5,1,0,0,11,428392,467979,467977,0,0,0,0,1,64806
99,614,8403,357,1,0,1,0,1,62,536,0,0,4,0,0,1,14,430861,467979,467573,0,1,0,0,0,64781
100,1078266,23114,4104,0,0,1,0,0,345,68858,1189,0,3,0,0,1,7,351559,467979,467980,1,0,0,1,0,63847
101,21213,16525,738,1,1,1,1,1,295,2967,113,15,3,1,0,0,4,363181,467977,467814,1,1,0,0,0,63794
102,74938,1726,514,0,0,1,1,0,253,3404,83,4,17,0,0,0,12,434163,467980,467963,1,0,1,0,0,63697
103,132741,5525,318,0,0,1,1,0,400,15487,168,0,20,0,0,1,6,380965,467978,467964,0,0,0,0,1,63153
104,59774,8742,299,0,0,1,1,0,403,16015,249,0,16,1,0,0,44,369820,467977,467973,1,1,0,0,0,63073
105,10210,15664,1,0,0,0,1,0,406,5066,166,10,7,0,0,0,8,352925,467979,467887,1,0,0,0,1,63006
106,990559,10084,6496,0,0,0,0,0,356,151068,4309,0,0,0,0,1,4,401559,467979,467979,1,0,1,0,0,62790
107,46896,8947,122,1,0,1,0,1,1,564,0,0,0,0,0,1,4,435453,467979,467972,0,0,0,1,0,61881
108,1282783,11462,9636,0,0,1,0,0,463,54358,1447,0,8,0,0,1,9,385786,467980,467979,1,1,0,0,0,61441
109,9096,10466,169,1,0,0,1,0,275,5775,517,0,4,1,0,0,7,346117,467977,467888,1,1,0,0,0,60909
110,10485,5850,136,1,1,1,0,1,451,1907,16,657,10,1,0,0,18,407986,467979,467955,1,0,0,0,1,60701
