branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
21,2,593.0,394027,1114,2400.0,84.0,156,7.0,4.0,10.0,1,538,248,38,6,137,2,0.0,6.0,16,64,23,74,193,115,0,0,0,421837,13396,18,13436,1849,14,70,2840,57,70,1,421905,1,12,107,1,0,0,0,0,1,0,0,0,0,0,0
22,4,1018.0,394016,96083,239.0,1.0,319,5.0,3.0,17.0,1,742,230,89,27,173,10,0.0,0.0,14,89,23,24,92,26,1,1,1,421827,7641,55,7641,1064,37,25,3671,254,37,1,421896,1,8,45,0,0,1,0,0,0,0,1,0,0,0,0
23,1,75.0,393993,126,134.0,40.0,26,0.0,5.0,10.0,0,44,20,11,4,10,2,0.0,4.0,1,3,2,23,23,38,1,3,1,419368,2640,8,2640,391,20,140,104,8,20,1,421608,1,4,59,0,0,1,0,0,0,0,0,0,0,1,0
24,2,15.0,393988,17,1219.0,46.0,24,42.0,191.0,32.0,1,1,2,9,10,1,7,0.0,1.0,1,3,1,3,2,3,4,0,8,414563,5773,5,5773,920,0,177,110,1,3,1,421891,1,13,80,0,1,0,0,0,1,0,0,0,0,0,0
25,6,142.0,394002,89,89.0,37.0,29,0.0,0.0,21.0,1,60,52,7,4,29,2,0.0,9.0,5,16,13,25,26,45,1,2,3,415631,6562,7,6562,831,0,70,111,3,39,1,421863,1,11,78,1,0,0,0,0,1,0,0,0,0,0,0
26,1,54.0,393994,482,771.0,2.0,20,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,3.0,0,0,0,1,0,1,0,0,0,415113,1880,3,2368,217,0,31,122,5,0,1,421562,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
27,1,8.0,393992,37,1140.0,4.0,105,2.0,2.0,37.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,405703,3529,32,3929,478,0,86,127,33,0,1,421683,1,7,45,0,0,1,0,0,0,0,1,0,0,0,0
28,1,174.0,394000,10548,12.0,1.0,34,0.0,0.0,0.0,0,68,52,3,7,50,7,0.0,0.0,0,0,0,0,0,0,0,0,0,412897,8136,4,8136,1118,0,3,136,22,0,1,421682,1,14,103,0,0,0,0,1,0,0,0,0,0,0,1
29,1,34.0,393987,26,27.0,1.0,35,0.0,0.0,0.0,1,5,6,0,3,3,3,0.0,0.0,3,5,4,6,1,6,3,5,6,414299,3867,25,3919,585,1,20,143,10,1,1,421796,1,15,120,0,1,0,0,0,0,0,0,0,0,0,1
30,6,28.0,393984,59,4.0,1.0,12,0.0,0.0,0.0,1,7,3,1,3,2,2,0.0,0.0,1,1,1,3,0,27,1,0,1,411231,2472,6,2472,310,0,12,146,3,0,1,420272,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,1,15.0,394002,66780,40.0,3.0,49,8.0,16.0,6.0,1,14,16,12,11,8,8,0.0,2.0,0,0,0,1,1,1,4,2,11,417663,2868,0,2868,405,0,21,169,14,4,1,421494,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
32,2,229.0,393989,3644,77.0,39.0,8,3.0,3.0,69.0,1,13,8,10,11,4,6,0.0,0.0,1,9,1,1,1,2,0,0,0,410190,3442,7,3442,510,0,325,188,11,4,1,420662,1,5,42,0,1,0,0,0,1,0,0,0,0,0,0
33,2,549.0,393988,1323,171.0,56.0,21,4.0,2.0,25.0,1,70,66,5,12,41,7,0.0,1.0,3,8,4,39,26,194,0,0,0,421785,27713,26,27713,3524,0,97,203,7,60,1,421534,1,10,56,1,0,0,0,0,1,0,0,0,0,0,0
34,2,39.0,393990,618,70.0,47.0,82,0.0,0.0,0.0,1,48,25,5,4,13,1,0.0,0.0,0,0,0,0,0,0,0,0,0,408196,5899,5,6403,764,0,19,208,32,0,1,421350,0,21,157,0,0,1,0,0,0,1,0,0,0,0,0
35,1,2.0,394002,676,17.0,0.0,36,0.0,0.0,1.0,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,1,0,2,394002,0,0,0,0,0,3,211,10,0,1,421883,1,12,64,0,1,0,0,0,1,0,0,0,0,0,0
36,1,99.0,394004,88,26.0,9.0,6,1.0,0.0,14.0,1,13,6,0,0,3,0,0.0,0.0,0,0,0,1,1,1,0,0,0,415745,11016,6,11044,1343,0,44,215,6,1,1,421685,1,9,65,1,0,0,0,0,0,0,0,0,0,0,1
37,1,2.0,393991,37,538.0,2.0,112,0.0,0.0,2.0,1,0,0,0,1,0,1,0.0,0.0,2,1,2,0,0,0,0,0,0,410581,978,0,978,161,0,9,221,14,0,1,421767,0,5,32,0,1,0,0,0,0,0,0,0,0,0,1
38,1,135.0,394000,148,313.0,72.0,10,2.0,24.0,111.0,1,0,0,0,0,0,0,0.0,2.0,1,1,1,7,3,14,0,0,0,409393,9627,28,9627,1331,0,183,234,13,25,1,420710,1,5,39,0,0,0,1,0,0,0,0,0,0,0,1
39,1,13.0,393984,25,9.0,0.0,18,0.0,0.0,0.0,1,7,8,0,0,4,0,0.0,0.0,1,3,4,0,0,0,0,0,0,409122,1151,1,1151,185,0,2,267,8,0,1,420522,0,7,32,1,0,0,0,0,1,0,0,0,0,0,0
40,1,10.0,393986,33413,96.0,17.0,64,0.0,1.0,4.0,1,2,2,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,402681,447,1,447,59,0,57,277,14,0,1,421696,1,18,87,0,1,0,0,0,0,0,0,0,0,0,1
41,5,18.0,393984,375,32.0,1.0,69,0.0,0.0,3.0,1,6,9,5,4,4,1,0.0,0.0,1,2,1,1,1,2,2,0,2,405432,873,6,873,117,0,36,293,15,0,1,421817,1,9,73,0,1,0,0,0,0,0,1,0,0,0,0
42,1,176.0,394001,4733,50.0,1.0,73,0.0,0.0,0.0,1,18,13,16,15,8,7,0.0,0.0,1,2,2,0,0,0,4,3,9,409235,3633,7,3633,587,0,5,310,41,0,1,421889,0,3,22,1,0,0,0,0,0,1,0,0,0,0,0
43,2,82.0,393984,108,12.0,14.0,20,0.0,0.0,6.0,1,5,2,3,2,1,1,0.0,0.0,3,1,22,10,5,11,0,0,0,419623,1892,3,1892,282,2,6,337,12,5,1,421174,0,6,38,0,1,0,0,0,0,0,0,0,0,0,1
44,1,66.0,393998,728,314.0,11.0,170,0.0,0.0,2.0,1,18,16,51,42,7,17,0.0,1.0,2,3,4,1,1,3,0,0,0,415660,4798,14,4832,770,0,158,340,51,0,1,421758,0,12,74,1,0,0,0,0,1,0,0,0,0,0,0
45,2,160.0,393992,12252,60.0,3.0,80,0.0,0.0,1.0,1,118,104,18,21,46,9,0.0,1.0,2,6,2,5,3,41,4,0,4,415521,4346,5,4346,647,3,15,380,25,5,1,421773,0,8,52,1,0,0,0,0,1,0,0,0,0,0,0
46,1,46.0,393988,286,2219.0,118.0,44,53.0,101.0,81.0,1,0,0,5,5,0,1,0.0,18.0,6,11,106,25,40,29,5,3,54,416245,796,3,796,123,0,214,451,14,2,1,421545,1,9,51,1,0,0,0,0,0,0,0,0,1,0,0
47,4,213.0,393990,412,62.0,190.0,126,1.0,7.0,69.0,1,118,97,38,46,46,22,0.0,0.0,6,14,20,6,15,9,2,0,3,410340,11682,18,11682,1860,0,152,453,33,15,1,421638,1,12,88,1,0,0,0,0,1,0,0,0,0,0,0
